Other,Tool,Economic,Connection,Info,Language,age,inc,party_lean,marital,educ2,emplnw,hisp,racem1,cregion,state,sex,Info,Knowledge,News,Education,Access,Find,Research,Share,Up to Date,Learn,Quantity,Speed,Ease,Quality,Freely,Other
,,,1,1,2,62,2,4,1,3,3,1,1,3,12,2,,,,,,1,,,,,,,,,,
,,,,1,2,58,98,4,2,2,1,1,7,1,42,2,,,1,,,,,,,,,,,1,,1
,1,,,,2,40,3,2,1,3,1,1,1,1,42,1,,,,,,,,,,,,,,,,
,,1,,,2,38,4,2,1,7,4,1,7,4,53,2,,,,,,,,,,,,,,,,
,,,,1,2,40,99,9,1,1,4,1,7,4,41,2,,,,,,1,,,,,,,1,,,
,,1,1,,2,68,2,4,4,1,1,1,7,3,48,2,,,,,,,,,,,,,,,,
1,,,,,2,72,2,4,3,3,3,1,7,4,6,2,,,,,,,,,,,,,,,,
,,,1,,2,47,5,3,4,4,1,1,1,1,34,1,,,,,,,,,,,,,,,,
,,,1,,2,23,98,2,6,5,2,1,1,3,48,1,,,,,,,,,,,,,,,,
,,,,1,2,62,4,2,1,3,1,1,7,3,48,1,,1,,,,,,,,,,1,,,,
,,,,1,2,51,99,2,5,7,1,1,1,3,12,1,,,,,,1,,,,,,,,,,
,,,,1,2,30,2,2,4,6,2,1,1,3,12,2,,,,,,,,,,1,1,,,,,
,,,1,,2,42,5,3,1,3,4,1,1,3,21,2,,,,,,,,,,,,,,,,
,,,,1,2,30,6,8,1,1,1,1,1,4,41,1,,,,1,,,,,,,,,,,,
,,,,1,2,32,3,2,1,3,4,1,1,2,17,2,,,,,,1,,,,,,1,,,,
1,,,,,2,77,1,1,5,3,3,1,1,3,48,2,,,,,,,,,,,,,,,,
,1,,1,1,2,27,98,1,6,2,1,1,7,1,42,1,,,1,,,,,,,1,,,,,,
,,,,1,2,36,1,4,2,6,1,1,7,3,12,1,,,,,,,,,,1,,,,,,
,,,1,,2,37,1,3,1,2,4,1,7,4,4,2,,,,,,,,,,,,,,,,
,,1,,,2,37,1,2,1,3,1,1,1,4,35,1,,,,,,,,,,,,,,,,
,,,1,,2,56,99,2,1,1,4,1,1,4,6,2,,,,,,,,,,,,,,,,
,,1,,1,2,34,3,2,6,3,1,1,7,4,6,1,1,,,,,,,,,,,,,,,
,,1,,,2,50,1,1,1,5,1,1,8,4,6,2,,,,,,,,,,,,,,,,
,,,,,2,74,1,4,4,6,3,1,2,4,6,1,,,,,,,,,,,,,,,,
1,,,,,2,18,1,3,6,3,2,1,8,3,13,1,,,,,,,,,,,,,,,,
1,,,,,2,55,1,3,2,98,2,1,1,2,17,2,,,,,,,,,,,,,,,,
,,,,1,2,39,3,2,6,3,1,1,1,4,6,1,,,,,,1,,,,,,,,,,
,,,1,1,2,88,98,4,1,6,4,1,1,3,12,2,1,,,,,,,,1,,,,,,,1
,,,,1,2,24,98,2,6,1,4,1,7,1,9,2,1,,,,,,,,,,,,,,,
,,,,1,2,43,5,2,1,3,1,1,7,3,48,1,,,,,,,,,1,,,,,,,1
,,,,1,2,68,99,2,1,8,1,1,7,3,12,1,,1,,,,,,,,,,,,,,
,,,1,,2,71,1,4,1,98,4,1,1,3,12,2,,,,,,,,,,,,,,,,
1,,,,,2,33,1,2,1,1,1,1,8,4,53,2,,,,,,,,,,,,,,,,
,,,,1,2,35,3,2,6,6,8,1,7,3,12,2,,,,,,,,,,1,,,,,,
,,,,1,2,34,2,2,4,2,1,1,7,3,48,1,,,,,,1,,,1,,,,,,,1
,,,1,,2,38,2,3,1,1,2,1,1,3,1,1,,,,,,,,,,,,,,,,
,,,1,1,2,54,1,2,1,1,1,1,1,4,6,1,,,,,,,,,1,,,,,,,1
,,,1,,2,19,3,2,6,3,1,1,1,3,51,1,,,,,,,,,,,,,,,,
,,,,,2,24,1,2,3,6,4,1,1,1,34,2,,,,,,,,,,,,,,,,
,,,1,,2,57,4,2,1,1,1,1,9,2,46,2,,,,,,,,,,,,,,,,
,,,1,,2,38,5,2,1,3,1,1,7,4,6,1,,,,,,,,,,,,,,,,
,,,,1,2,29,3,1,2,2,4,1,7,3,22,2,1,,,,1,,,,,,1,,,,,
,1,,,,2,31,5,3,1,7,1,1,7,2,39,1,,,,,,,,,,,,,,,,
,,,,1,2,55,5,1,1,3,1,1,7,3,13,1,1,,,,1,,,,,,,,1,,,
,,,,1,2,41,99,2,4,3,1,1,7,3,11,2,,,,1,1,,,,,,,,,,,
,1,,,,2,75,98,2,1,1,3,1,1,2,17,1,,,,,,,,,,,,,,,,
,,,,1,2,65,1,4,3,1,1,1,7,4,6,2,,,,,,1,,,,,,,,,,
,1,1,,1,2,46,3,2,1,3,1,1,7,4,4,1,,,,1,,,,,,,,,,,,
,,1,,,2,50,2,2,4,4,2,1,7,4,6,1,,,,,,,,,,,,,,,,
,1,,,1,2,50,2,9,1,2,2,1,7,4,6,2,,,,,,1,,,,,,,,,,
1,,,,,2,51,8,3,3,7,1,1,1,3,48,1,,,,,,,,,,,,,,,,
,,,,1,2,26,2,2,1,4,4,1,1,3,48,2,,,,,,,,,1,,,,,,,1
,,1,1,1,2,55,1,1,4,1,2,1,7,3,12,2,1,,,,1,,,,,,,,,,,
,,,,1,2,44,1,2,4,6,4,1,1,1,36,2,1,,,1,,1,,,,,,,,,,
,,,,1,2,58,99,2,3,6,3,1,1,3,12,1,,,,1,,,,,1,,,,,,,1
1,,,,,2,27,2,3,4,1,1,1,7,3,12,2,,,,,,,,,,,,,,,,
,,,1,,2,50,2,2,1,1,1,1,8,3,24,1,,,,,,,,,,,,,,,,
,,,1,,2,43,1,1,1,2,1,1,1,3,48,2,,,,,,,,,,,,,,,,
1,,,,,2,45,3,2,4,1,1,1,7,4,6,1,,,,,,,,,,,,,,,,
,,,,1,2,50,6,3,4,6,1,1,1,3,12,1,,,,,,,,,1,,,,,,,1
,,,,1,2,40,3,2,1,3,2,1,7,4,6,2,,,,,,1,,,,,,,,,,
1,,,,,2,32,3,3,1,3,1,1,3,2,17,1,,,,,,,,,,,,,,,,
,,,1,1,2,33,6,4,1,3,1,1,1,1,36,1,1,,,,,,,,,,,,,,,
,,,1,,2,34,5,2,1,3,1,1,5,4,6,1,,,,,,,,,,,,,,,,
,,,1,,2,45,98,2,1,8,2,1,1,3,12,1,,,,,,,,,,,,,,,,
,1,,,,2,66,3,1,1,4,3,1,1,3,12,2,,,,,,,,,,,,,,,,
,,,,1,2,43,6,2,1,3,4,1,1,4,6,2,1,,,,,,,,,,,,,1,,
,,,1,,2,25,4,2,6,6,1,1,1,4,6,2,,,,,,,,,,,,,,,,
,,1,,,2,30,2,2,1,1,2,1,1,1,34,1,,,,,,,,,,,,,,,,
,1,,1,,2,54,2,2,1,2,6,1,1,4,6,2,,,,,,,,,,,,,,,,
,,,,1,2,68,1,1,6,7,3,1,7,4,6,1,,,,1,,,,,,,,,,,,1
,,,1,,2,27,3,1,1,3,2,1,1,3,48,2,,,,,,,,,,,,,,,,
1,,,,,2,57,2,4,1,1,1,1,7,4,4,1,,,,,,,,,,,,,,,,
,1,,,1,2,40,4,3,1,3,1,1,1,3,21,1,,,1,,,,,,,,,,,,,
,,1,,,2,38,99,2,1,3,1,1,7,4,6,1,,,,,,,,,,,,,,,,
1,,,,,2,34,4,2,1,4,4,1,1,3,48,2,,,,,,,,,,,,,,,,
,,,1,,2,52,98,8,1,1,2,1,8,3,13,2,,,,,,,,,,,,,,,,
,,,,1,2,26,2,2,1,3,4,1,1,3,48,2,1,,1,,1,,,,,,,,,,,
,,,1,,2,63,98,3,4,2,2,1,1,3,48,2,,,,,,,,,,,,,,,,
,,1,,,2,31,9,9,2,4,1,1,7,3,48,1,,,,,,,,,,,,,,,,
,1,,1,,2,30,4,3,1,3,1,1,7,4,6,2,,,,,,,,,,,,,,,,
,,,1,,2,40,1,3,1,1,4,1,1,4,6,2,,,,,,,,,,,,,,,,
,,,,1,2,50,2,2,5,2,4,1,7,3,13,2,,,,1,,,,,,1,,,,,,
,,,1,1,2,36,1,1,4,2,4,1,1,4,6,2,1,,,,,1,,,,,,,,,,
,1,,1,,2,41,2,3,1,3,8,1,7,3,47,1,,,,,,,,,,,,,,,,
,,,,1,1,28,3,3,6,4,4,2,1,4,8,1,1,,,,1,,,,,,,1,,,,
,,,1,,1,20,6,2,6,4,2,2,1,3,45,1,,,,,,,,,,,,,,,,
,,,,1,1,62,2,1,3,5,1,2,1,3,37,2,1,,,,1,,,,,,,,1,,,
,,,1,,1,67,2,1,1,8,3,2,3,4,6,1,,,,,,,,,,,,,,,,
,,,1,,1,46,6,2,2,6,1,2,2,3,37,2,,,,,,,,,,,,,,,,
,,,1,,1,84,99,9,9,99,99,9,9,1,42,2,,,,,,,,,,,,,,,,
,,,,1,1,67,8,1,1,7,3,2,1,2,26,1,1,,,,1,,,,,,,,,,,
1,1,,,,1,97,9,2,1,7,1,2,1,4,53,1,,,,,,,,,,,,,,,,
1,,,,,1,77,6,2,1,3,3,2,2,1,36,1,,,,,,,,,,,,,,,,
1,,,,,1,50,99,1,9,7,1,2,1,3,37,2,,,,,,,,,,,,,,,,
,,,,1,1,59,8,1,1,3,3,2,1,1,36,1,,,,,,,1,,,,,,,,,
,,,,1,1,33,6,2,1,7,1,2,1,4,30,2,1,,,,1,,,,,,,,,,,1
1,,,,,1,51,9,2,1,6,4,2,1,3,48,2,,,,,,,,,,,,,,,,
,,,1,,1,49,2,2,2,3,6,2,2,1,36,1,,,,,,,,,,,,,,,,
,,,,1,1,24,1,2,6,5,1,2,1,4,6,1,,,,,,1,,,,,,1,1,,,
,,1,,,1,60,9,1,1,4,1,2,1,4,53,1,,,,,,,,,,,,,,,,
,,,,1,1,39,5,2,2,5,1,2,1,3,47,1,1,,,,1,,,,,,,,,,,
,,,1,1,1,24,99,2,6,6,4,2,1,1,36,1,1,,,1,,,,,,,,,,,,
1,,,,,1,36,7,2,1,6,1,2,1,3,48,1,,,,,,,,,,,,,,,,
,,,,1,1,58,8,2,1,6,1,2,1,3,51,1,1,,,,,,,,,,,,,,,
,,,,1,1,61,99,9,1,5,1,2,1,2,38,1,1,,,,,,,,,,,,,,,
,,,,1,1,28,4,2,6,4,1,2,1,3,48,2,,1,,,1,,,1,,,,,,,,
,,,,1,1,65,4,3,1,5,3,2,1,2,29,2,1,,,,1,,,,,,,,,,,
,,,1,1,1,65,7,2,1,6,1,2,1,3,12,2,1,,,,,,,,,,,1,,,,
,,,,1,1,46,8,2,1,6,1,2,1,4,41,1,1,,,,1,,,,,,,,,,,
,,,1,,1,23,2,3,6,3,1,2,2,2,46,1,,,,,,,,,,,,,,,,
,,,1,,1,62,5,2,3,6,1,2,1,3,13,1,,,,,,,,,,,,,,,,
,,,1,,1,27,4,2,6,6,1,2,1,2,27,2,,,,,,,,,,,,,,,,
,,,,1,1,75,99,2,1,7,2,2,1,4,53,1,1,,,,1,,,,,,,,,,,
,,,1,1,1,42,9,2,1,8,1,2,1,4,2,2,,,,1,,,,,,,1,,,,,1
,,,1,,1,53,9,1,1,6,1,2,2,3,12,1,,,,,,,,,,,,,,,,
,,,,1,1,24,3,1,1,2,1,2,1,2,29,1,1,,,,,,,,,,,,,,,
,,,,1,1,37,8,1,1,8,1,2,1,3,13,1,,,1,1,,,,,,,,,,,,
1,,,,,1,27,4,2,5,5,1,1,2,3,12,2,,,,,,,,,,,,,,,,
,1,,,1,1,25,3,3,6,3,1,2,1,2,31,1,,,1,,,1,,,1,,,,,,,1
,,,,1,1,21,7,2,6,6,7,2,1,1,42,2,,,,1,,,,,,,,,,,,
,,,,1,1,36,2,2,6,7,1,2,2,3,24,2,1,,,,1,,,,1,,,,,,,
,,,,1,1,46,6,1,2,3,4,2,1,3,12,1,1,,,,,,,,,,,,1,,,
,,,,1,1,51,3,3,3,3,1,2,2,3,11,1,1,,,,,,,,,,,,,,,1
,,,,1,1,42,8,2,1,6,1,2,2,3,45,1,1,,,,1,,,,,,,1,,,,
,,,1,,1,19,8,3,6,3,1,2,2,1,25,1,,,,,,,,,,,,,,,,
,1,,,1,1,61,3,2,1,4,6,2,1,3,48,2,1,,,,1,,,,,,,,,,,
,1,,1,1,1,63,99,3,6,7,1,8,9,4,6,1,,,,1,,1,,,,,,,,,,
,,,1,1,1,65,99,2,2,6,3,2,1,3,51,1,1,,,,1,,,,,,,,,,,
,,,,1,1,51,6,1,1,3,1,2,9,3,37,1,,,,,,,1,,,,,1,,,,1
1,,,,,1,18,8,2,6,3,2,2,1,3,37,2,,,,,,,,,,,,,,,,
,,,1,,1,20,9,1,6,4,1,1,1,2,19,1,,,,,,,,,,,,,,,,
,,,1,1,1,36,9,2,1,6,1,2,3,3,47,1,,1,,,,,,1,,,,,,,,
,,,,1,1,44,9,2,1,6,1,2,1,1,25,2,1,,,,1,,,,,,,,,,,
,,,,1,1,65,8,2,5,6,3,2,1,3,40,1,1,,,,1,,,,,,,,,,,1
,,,,1,1,54,99,2,6,7,2,2,3,1,42,2,1,,,,1,,,,,,,,,,,1
,,,,1,1,46,5,1,2,4,1,2,1,3,48,1,1,,,,,,,1,,,,1,,,,
,,1,1,,1,46,7,2,3,6,1,2,2,3,48,2,,,,,,,,,,,,,,,,
,,,1,,1,46,4,2,6,2,1,2,2,3,28,1,,,,,,,,,,,,,,,,
,,,,1,1,55,1,4,2,2,2,2,1,4,6,1,1,,,,,,,,,,1,,1,,,
,,,,1,1,45,6,2,1,5,1,2,1,1,42,1,,,,,,,,,,1,,,,,,
1,,,,,1,90,9,2,5,7,3,2,1,4,6,1,,,,,,,,,,,,,,,,
,,,,1,1,55,1,1,1,6,5,2,1,2,18,1,1,,,,,,,1,,,,,,,1,
,,,1,1,1,30,9,2,1,6,1,2,1,3,37,2,1,,,1,1,,,1,,,,,,,,1
,,,,1,1,30,99,1,1,6,1,2,1,4,2,1,,,1,,,,,,,,,,,,,
,,,1,,1,66,8,9,1,6,1,2,1,2,27,1,,,,,,,,,,,,,,,,
,,,,1,1,43,7,2,1,6,1,2,1,2,29,1,1,,,,1,,,,,,1,,,,,1
,,,1,,1,30,5,1,1,8,1,2,1,2,29,2,,,,,,,,,,,,,,,,
,,1,1,,1,24,99,9,6,3,4,2,2,2,26,1,,,,,,,,,,,,,,,,
,,,,1,1,68,7,2,1,7,3,2,1,4,8,2,,1,,,,,,1,,,,,,,,
1,,,,,1,60,99,2,1,6,1,2,1,4,8,2,,,,,,,,,,,,,,,,
,,1,,,1,64,6,1,6,8,1,2,1,2,17,1,,,,,,,,,,,,,,,,
,,,,1,1,50,99,2,1,4,4,2,1,3,28,2,,1,,,1,,,,,,,1,1,,,
,1,,,,1,48,3,2,1,5,5,2,1,1,50,2,,,,,,,,,,,,,,,,
,,,,1,1,38,7,3,1,8,1,2,3,3,37,2,1,,,,1,,,,,,,,,,1,
,1,1,,,1,23,3,1,2,6,1,2,1,2,29,1,,,,,,,,,,,,,,,,
,1,,,1,1,21,1,2,6,4,2,2,1,2,55,2,1,1,,,,,,,,,,,,,,
,,1,,1,1,99,8,2,1,6,1,2,1,4,8,1,1,1,,,,,,1,,,,,,,,
1,,,,,1,21,9,2,6,4,2,1,1,4,35,2,,,,,,,,,,,,,,,,
1,,,,,1,40,1,4,1,4,99,2,1,4,6,1,,,,,,,,,,,,,,,,
1,,,,,1,84,5,1,5,5,3,2,5,1,36,2,,,,,,,,,,,,,,,,
,,,,1,1,23,7,2,1,3,1,2,1,4,15,2,,,,,,1,,,,,,,1,,,
,,,,1,1,40,8,1,1,6,1,2,1,1,42,1,1,,,,1,,,,,,,,,,,
,,,,1,1,56,9,1,1,6,1,2,1,3,48,1,1,,,,,1,,,,,,,1,,,1
,,,1,,1,66,7,3,1,8,1,2,1,3,37,2,,,,,,,,,,,,,,,,
,1,,,,1,55,99,9,4,3,1,2,2,3,47,1,,,,,,,,,,,,,,,,
,,1,,1,1,28,98,1,6,7,7,2,2,4,8,1,1,,,,,,,,,,1,,,,,
,,,,1,1,21,2,2,6,5,4,2,1,3,12,1,,1,,,1,,,,,,,,,,,
,,,,1,1,65,99,3,1,8,1,9,9,1,36,1,,,,,,,,,,1,,,,,,
,,,,1,1,66,99,2,9,8,3,2,1,2,17,2,1,,,,,,,,,,,,,,,
1,,,,,1,23,5,2,6,5,1,1,1,3,12,1,,,,,,,,,,,,,,,,
,,1,1,1,1,29,7,2,6,6,4,2,1,4,53,1,,1,,,,,,1,,,,,,,,1
,,,,1,1,59,5,2,1,8,5,1,1,2,20,1,1,,,1,,,,,,,,,,,,
,,,,1,1,57,8,1,1,7,1,2,1,3,40,1,1,,,,1,,,,,,1,,,,,
,,,1,1,1,68,99,2,3,6,3,2,2,3,13,2,,,1,,,,,,,,,1,,,,
,,,1,,1,99,4,1,5,5,5,2,1,1,34,2,,,,,,,,,,,,,,,,
,,,,1,1,67,7,1,1,7,3,2,1,3,47,1,1,,,,1,,,,,,,,,,,1
,,,,1,1,67,8,1,1,6,1,2,1,2,39,1,1,,,,,1,,,,,,1,,,,
,,,1,,1,60,2,1,6,6,2,2,2,4,6,1,,,,,,,,,,,,,,,,
,,,,1,1,47,2,4,1,7,1,1,7,1,36,1,1,,,,,,,,,,,1,,,,
,,,,1,1,65,8,1,3,3,1,2,1,3,40,1,1,,,,,,,,,,1,,,,,
,,,1,,1,27,98,2,6,5,2,1,7,3,11,2,,,,,,,,,,,,,,,,
,,,,1,1,38,6,1,3,8,1,2,1,3,21,2,,,,1,,,,,,,,,,,,
,,1,,,1,28,9,2,2,6,1,1,1,4,6,2,,,,,,,,,,,,,,,,
,,,,1,1,46,9,2,1,6,1,1,1,4,6,1,1,,,,1,,,,,,,,1,,,
,,,1,1,1,29,7,2,1,6,1,2,1,2,27,2,,,,,1,,1,,,,,,,,,
,,,,1,1,61,6,2,1,7,2,2,1,4,30,2,1,,,,1,,,,,,,,,,,1
,,,,1,1,61,8,1,1,6,5,2,1,4,6,2,1,,,,,,1,1,,,,,,,,
,,,,1,1,29,2,2,6,6,1,2,1,3,12,2,1,,,,,,,,,,,,1,,1,1
,,,,1,1,53,7,2,1,3,1,2,2,3,22,1,1,,,,1,,,,,,,,1,,,
,1,,,,1,30,8,2,1,7,1,2,3,3,48,1,,,,,,,,,,,,,,,,
1,,,,,1,47,4,1,1,8,2,2,1,4,35,2,,,,,,,,,,,,,,,,
,,,1,1,1,18,98,1,6,3,2,1,1,4,6,1,1,,,,,,,1,,,,,,,,1
,,,,1,1,39,8,2,1,6,1,1,1,3,48,1,1,,,,,,,,,,,,,,,
,,,,1,1,81,4,1,5,3,4,2,1,3,12,2,1,,,,,,,,,,,,,,,
,,,,1,1,39,9,2,1,6,1,2,1,2,19,2,1,1,,,1,,,,,,1,,,,,
,,,1,,1,70,7,2,3,8,1,2,2,1,25,2,,,,,,,,,,,,,,,,
,,,,1,1,70,6,1,1,6,3,2,1,3,51,1,1,,,,1,,,,,,1,1,,,,
,,,,1,1,55,7,2,1,6,1,2,1,2,55,2,,,,1,,,,,,,,,,,,
,1,,,1,1,20,4,8,6,3,4,2,5,4,2,2,,,,,,1,,,,1,,,,,,
,,,,1,1,70,8,2,5,8,3,2,1,3,51,1,,1,,,,,,,,,1,,,,,
,,,1,,1,51,6,4,1,4,2,2,1,3,40,1,,,,,,,,,,,,,,,,
,,,,1,1,67,98,3,1,3,3,2,2,3,13,2,,,,,,1,,,,,,,1,,,
,1,,1,1,1,32,5,3,1,3,1,2,1,2,17,2,,,1,,,,,,,,,,,,,
,,,,1,1,30,98,1,6,6,1,2,1,2,39,1,1,,,,1,,,,,,1,,,,,1
,,,,1,1,56,9,3,1,8,1,2,1,1,44,2,1,,,,1,,,,,,,,,,,
,,,1,1,1,57,3,2,4,2,1,2,2,3,22,2,,,,1,,,,,,,,,,,,
,,,,1,1,21,6,1,6,3,1,2,1,4,15,1,,,,,,1,,,,,,,,,,
,,,,1,1,67,7,2,1,3,3,2,1,2,18,2,1,1,,,,,,,,,,,1,,,
,1,,,1,1,40,9,2,1,7,1,2,1,3,12,1,1,,,,1,,,,,,1,,,,,1
,1,,1,,1,38,1,2,6,2,4,2,2,2,39,2,,,,,,,,,,,,,,,,
,,1,,,1,62,7,1,3,6,1,2,1,3,24,1,,,,,,,,,,,,,,,,
,,,,1,1,64,1,1,3,4,3,2,1,2,20,2,1,,,,,,,1,1,,,,,1,,1
,,,,1,1,60,8,2,1,6,1,2,1,2,29,1,1,,,,,,,1,,,,,,,,
,,,1,,1,50,7,8,4,2,5,1,7,3,21,1,,,,,,,,,,,,,,,,
,,,1,,1,82,9,1,1,8,3,2,1,4,6,1,,,,,,,,,,,,,,,,
,,,,1,1,78,7,2,1,8,3,2,1,1,36,2,,,,,,,,,1,,,,,,,
,,,,1,1,47,9,2,1,8,2,2,1,1,42,2,,,,,,,,,1,,,,,,,1
,,,1,,1,26,4,1,6,8,1,2,1,1,36,1,,,,,,,,,,,,,,,,
,1,,,1,1,62,7,1,1,4,3,2,1,3,13,1,1,,,,,,,,,,,,,,,
,,,,1,1,67,9,2,1,6,2,2,1,4,32,1,,1,,,,,,,,,1,,,,,1
,,,1,1,1,66,7,3,1,7,1,2,2,3,12,1,,,,,,1,,,,,,1,,,,
1,,,,,1,19,1,2,6,3,4,2,2,3,45,2,,,,,,,,,,,,,,,,
,,,,1,1,21,3,1,6,5,1,2,9,2,17,2,1,,,,,,,1,,,,,,,,
,,,1,,1,68,6,1,1,4,3,2,1,3,47,2,,,,,,,,,,,,,,,,
,,,,1,1,42,9,2,1,6,1,2,1,1,42,1,1,,,,,,,,,,,,,,,1
,,,1,,1,57,7,2,5,6,1,2,1,3,12,2,,,,,,,,,,,,,,,,
1,,,,,1,50,99,9,1,7,1,2,1,1,42,1,,,,,,,,,,,,,,,,
,,,,1,1,47,9,1,1,6,1,2,1,2,27,2,1,,,,1,,,,,,,,,,,
,,,1,,1,44,99,2,1,8,1,2,3,1,36,2,,,,,,,,,,,,,,,,
,,,,1,1,80,7,1,1,6,3,2,1,3,48,2,1,,,,1,,,,,,,1,1,,,1
,,,,1,1,28,4,2,6,6,1,2,1,3,11,1,1,,,,,,,1,,,,,,1,1,1
,,,,1,1,50,9,1,1,4,1,2,1,3,21,1,1,,,,,,,,,,1,,,,,
1,,,,,1,50,6,2,1,4,1,2,1,3,48,2,,,,,,,,,,,,,,,,
,,,1,,1,39,6,3,1,6,1,2,1,1,23,2,,,,,,,,,,,,,,,,
,,,,1,1,25,5,4,6,3,2,2,1,1,50,2,1,,,,1,,,,,,,,,,,1
1,,,,,1,68,7,2,2,3,3,2,1,3,54,1,,,,,,,,,,,,,,,,
,,,,1,1,58,6,1,1,5,1,2,1,3,47,2,,1,,,,,,,,,,,,,,
,,,,1,1,27,8,3,1,7,1,2,3,1,25,2,,1,,,,1,,,,,,,,,,
,,,1,,1,18,2,8,6,2,4,1,7,4,6,1,,,,,,,,,,,,,,,,
,,,,1,1,55,99,1,1,6,1,2,1,4,8,1,1,,,,,,,,,,,,,,,
,,,,1,1,25,3,2,2,6,2,2,1,1,42,1,1,,,,1,,,,,,,,,,,
,,,,1,1,67,2,4,3,6,3,2,1,2,27,2,1,,,,,,,,,,,,1,,,
,,,,1,1,60,8,2,1,1,1,2,3,3,51,1,1,,,,,,,,,,,,,,,
,,,,1,1,22,7,2,6,6,7,1,1,3,48,2,1,,,,,,1,,,,,,,,,
,,,,1,1,40,9,1,1,3,5,2,1,4,30,1,1,,,,,,,,,,,,,,,
1,,,,,1,84,99,1,5,4,3,2,1,3,48,2,,,,,,,,,,,,,,,,
,,,,1,1,56,9,2,1,4,1,2,1,4,6,1,1,,,,1,,,1,,,,,,,,1
,,,1,,1,43,8,1,1,7,1,2,1,4,6,1,,,,,,,,,,,,,,,,
,1,,,1,1,45,9,1,1,3,1,2,1,1,36,1,1,,,,,1,,,,,,,,,,
,,,,1,1,67,3,1,1,4,3,2,5,4,2,1,1,,,,1,,,,,,,,,,,
,,,,1,1,35,8,4,1,5,1,2,1,3,51,1,1,,,,,,,,,,,,,,,
,,,1,,1,46,8,2,1,6,1,2,1,4,6,1,,,,,,,,,,,,,,,,
,,,,1,1,70,99,1,6,7,3,2,1,4,16,1,,,1,,,,,,1,,,,,1,,
,,,,1,1,72,6,2,1,6,4,2,1,1,34,1,1,,,,,,,1,,,,,,,,1
,,,1,,1,50,1,1,2,4,4,1,7,2,26,1,,,,,,,,,,,,,,,,
,,,,1,1,76,3,3,6,6,3,2,1,3,24,1,1,,,,1,,1,,,,,,,,,
,,,1,1,1,29,5,2,6,6,1,2,1,3,48,2,1,,,,,,,,,,,,,,1,
